傻斌;2501000000;Valid;阙;北京中关村 苹果店;苹果;110;156516;肥斌;南京鼓楼区 地下通道;出租屋;120;38388;安全;1.0;10.0;10.0;10.0;10.0;Economy;Carton;56.8;0天3小时; ;
欢;2118200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;上海开发区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;21.5;0天5小时; ;
欢;1009200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;北京房山区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;14.0;0天2小时; ;
欢;2105200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;上海普陀区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;21.5;0天5小时; ;
欢;2504200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;南京秦淮区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;16.5;0天3小时; ;
欢;1009200001;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;北京房山区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;14.0;0天2小时; ;
欢;1017200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;北京平谷区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;14.0;0天2小时; ;
欢;2113200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;上海松江区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;21.5;0天5小时; ;
欢;2102200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;上海徐汇区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;21.5;0天5小时; ;
欢;2001200000;Valid;鹏;北京东城区 3c675;太平洋;18323882381;6423412;锟名;广州越秀区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;86.5;1天14小时; ;
欢;2009200000;Valid;鹏;北京通州区 3c675;太平洋;18323882381;6423412;锟名;广州花都区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;86.5;1天14小时; ;
欢;2111200000;Valid;鹏;北京通州区 3c675;太平洋;18323882381;6423412;锟名;上海浦东新区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;21.5;0天5小时; ;
欢;1019200000;Valid;鹏;北京通州区 3c675;太平洋;18323882381;6423412;锟名;北京大学城 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;14.0;0天2小时; ;
欢;1010200000;Valid;鹏;北京通州区 3c675;太平洋;18323882381;6423412;锟名;北京大兴区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;14.0;0天2小时; ;
欢;1016000000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;北京密云县 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;2102000000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;上海徐汇区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;18.3;0天5小时; ;
欢;1005000000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;北京朝阳区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;1015000001;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;北京怀柔区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Economy;Carton;12.9;0天2小时; ;
欢;1004100000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;北京崇文区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2112100000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;上海金山区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2009100000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;广州花都区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;80.4;1天14小时; ;
欢;1003100000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;北京西城区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2101100000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;上海黄浦区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2115100001;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;上海奉贤区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;2008100001;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;广州番禺区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;80.4;1天14小时; ;
欢;1001100001;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;北京宣武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2103100001;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;上海长宁区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;20.6;0天5小时; ;
欢;1005100000;Valid;鹏;北京密云县 3c675;太平洋;18323882381;6423412;锟名;北京朝阳区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;1002100000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;北京东城区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;1005100001;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;北京朝阳区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2502100000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;南京玄武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;16.0;0天3小时; ;
欢;1012100000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;北京门头沟区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Standard;Carton;13.7;0天2小时; ;
欢;2104200000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;上海静安区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;21.5;0天5小时; ;
欢;1002200000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;北京东城区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Carton;14.0;0天2小时; ;
欢;2502200000;Valid;鹏;北京昌平区 3c675;太平洋;18323882381;6423412;锟名;南京玄武区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Wooden;26.5;0天3小时; ;
欢;2106200000;Valid;鹏;上海外贸区 3c675;太平洋;18323882381;6423412;锟名;上海虹口区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Wooden;24.0;0天2小时; ;
欢;1008200000;Valid;鹏;上海外贸区 3c675;太平洋;18323882381;6423412;锟名;北京丰台区 中医学院;大西洋;13884852888;6382194;肉松饼;1.0;1.0;20.0;10.0;10.0;Professional;Wooden;31.5;0天5小时; ;
多弗朗明哥;1012200000;Valid;路费;北京通州区 逸夫楼;终南山;12312391239;12388481288;索隆;北京门头沟区 硅谷;中南海;5812812388;1283858124;海楼石;1.0;10.0;20.0;20.0;20.0;Professional;Wooden;60.0;0天2小时; ;
